,WeekType,Time,Station,Direction1,Direction2
0,WEEKDAY,0,EW1,33,0
1,WEEKDAY,0,EW2,535,797
2,WEEKDAY,0,EW3,534,1401
3,WEEKDAY,0,EW4,501,1591
4,WEEKDAY,0,EW5,480,1778
5,WEEKDAY,0,EW6,477,2189
6,WEEKDAY,0,EW7,472,2294
7,WEEKDAY,0,EW8,467,2381
8,WEEKDAY,0,EW9,495,2311
9,WEEKDAY,0,EW10,505,2385
10,WEEKDAY,0,EW11,501,2454
11,WEEKDAY,0,EW12,417,2650
12,WEEKDAY,0,EW13,649,1815
13,WEEKDAY,0,EW14,696,1512
14,WEEKDAY,0,EW15,740,779
15,WEEKDAY,0,EW16,1244,630
16,WEEKDAY,0,EW17,1199,181
17,WEEKDAY,0,EW18,1187,184
18,WEEKDAY,0,EW19,1138,188
19,WEEKDAY,0,EW20,1100,193
20,WEEKDAY,0,EW21,1159,196
21,WEEKDAY,0,EW22,1181,84
22,WEEKDAY,0,EW23,1187,84
23,WEEKDAY,0,EW24,1403,90
24,WEEKDAY,0,EW25,1387,83
25,WEEKDAY,0,EW26,993,79
26,WEEKDAY,0,EW27,591,62
27,WEEKDAY,0,EW28,116,15
28,WEEKDAY,0,EW29,112,5
29,WEEKDAY,0,EW30,99,4
30,WEEKDAY,0,EW31,69,0
31,WEEKDAY,0,EW32,21,0
32,WEEKDAY,0,EW33,0,0
33,WEEKDAY,0,NS1,2200,0
34,WEEKDAY,0,NS2,2458,792
35,WEEKDAY,0,NS3,2421,1431
36,WEEKDAY,0,NS4,2637,1804
37,WEEKDAY,0,NS5,2403,2438
38,WEEKDAY,0,NS6,2403,3016
39,WEEKDAY,0,NS7,2641,3016
40,WEEKDAY,0,NS8,2886,3021
41,WEEKDAY,0,NS9,3646,3477
42,WEEKDAY,0,NS10,3409,4054
43,WEEKDAY,0,NS11,2960,5015
44,WEEKDAY,0,NS12,2907,5714
45,WEEKDAY,0,NS13,2311,5803
46,WEEKDAY,0,NS14,2009,5756
47,WEEKDAY,0,NS15,1880,5488
48,WEEKDAY,0,NS16,562,5292
49,WEEKDAY,0,NS17,529,5267
50,WEEKDAY,0,NS18,402,4951
51,WEEKDAY,0,NS19,191,5106
52,WEEKDAY,0,NS20,171,5149
53,WEEKDAY,0,NS21,199,5131
54,WEEKDAY,0,NS22,157,3500
55,WEEKDAY,0,NS23,130,3608
56,WEEKDAY,0,NS24,69,3270
57,WEEKDAY,0,NS25,28,2591
58,WEEKDAY,0,NS26,15,2360
59,WEEKDAY,0,NS27,6,856
60,WEEKDAY,0,NS28,0,2
61,WEEKDAY,0,NE1,241,0
62,WEEKDAY,0,NE2,241,92
63,WEEKDAY,0,NE3,658,92
64,WEEKDAY,0,NE4,1215,98
65,WEEKDAY,0,NE5,1299,391
66,WEEKDAY,0,NE6,1484,401
67,WEEKDAY,0,NE7,1787,397
68,WEEKDAY,0,NE8,1865,53
69,WEEKDAY,0,NE9,1835,64
70,WEEKDAY,0,NE10,1827,71
71,WEEKDAY,0,NE11,1805,80
72,WEEKDAY,0,NE12,1315,77
73,WEEKDAY,0,NE13,1224,42
74,WEEKDAY,0,NE14,986,39
75,WEEKDAY,0,NE15,778,31
76,WEEKDAY,0,NE16,420,30
77,WEEKDAY,0,NE17,0,32
78,WEEKDAY,0,CC1,956,0
79,WEEKDAY,0,CC2,965,91
80,WEEKDAY,0,CC3,992,90
81,WEEKDAY,0,CC4,1865,87
82,WEEKDAY,0,CC5,1868,42
83,WEEKDAY,0,CC6,1931,48
84,WEEKDAY,0,CC7,1872,45
85,WEEKDAY,0,CC8,1845,109
86,WEEKDAY,0,CC9,1908,165
87,WEEKDAY,0,CC10,1908,276
88,WEEKDAY,0,CC11,1844,276
89,WEEKDAY,0,CC12,1766,292
90,WEEKDAY,0,CC13,1221,413
91,WEEKDAY,0,CC14,1149,669
92,WEEKDAY,0,CC15,647,722
93,WEEKDAY,0,CC16,562,695
94,WEEKDAY,0,CC17,458,684
95,WEEKDAY,0,CC18,458,712
96,WEEKDAY,0,CC19,332,712
97,WEEKDAY,0,CC20,317,581
98,WEEKDAY,0,CC21,312,598
99,WEEKDAY,0,CC22,228,530
100,WEEKDAY,0,CC23,191,220
101,WEEKDAY,0,CC24,164,153
102,WEEKDAY,0,CC25,145,100
103,WEEKDAY,0,CC26,130,72
104,WEEKDAY,0,CC27,124,66
105,WEEKDAY,0,CC28,104,61
106,WEEKDAY,0,CC29,0,66
107,WEEKDAY,0,DT1,12,0
108,WEEKDAY,0,DT2,10,1079
109,WEEKDAY,0,DT3,13,1167
110,WEEKDAY,0,DT4,13,1335
111,WEEKDAY,0,DT5,15,1335
112,WEEKDAY,0,DT6,15,1506
113,WEEKDAY,0,DT7,15,1597
114,WEEKDAY,0,DT8,15,1652
115,WEEKDAY,0,DT9,129,1713
116,WEEKDAY,0,DT10,171,1699
117,WEEKDAY,0,DT11,349,1712
118,WEEKDAY,0,DT12,375,2232
119,WEEKDAY,0,DT13,364,2368
120,WEEKDAY,0,DT14,718,2404
121,WEEKDAY,0,DT15,753,2276
122,WEEKDAY,0,DT16,1398,2159
123,WEEKDAY,0,DT17,1417,908
124,WEEKDAY,0,DT18,1563,787
125,WEEKDAY,0,DT19,1768,568
126,WEEKDAY,0,DT20,1828,174
127,WEEKDAY,0,DT21,1898,111
128,WEEKDAY,0,DT22,2051,87
129,WEEKDAY,0,DT23,2070,67
130,WEEKDAY,0,DT24,2004,61
131,WEEKDAY,0,DT25,1922,51
132,WEEKDAY,0,DT26,1817,48
133,WEEKDAY,0,DT27,1745,42
134,WEEKDAY,0,DT28,1562,46
135,WEEKDAY,0,DT29,1503,47
136,WEEKDAY,0,DT30,1363,49
137,WEEKDAY,0,DT31,1269,46
138,WEEKDAY,0,DT32,875,57
139,WEEKDAY,0,DT33,264,37
140,WEEKDAY,0,DT34,67,10
141,WEEKDAY,0,DT35,0,7
142,WEEKDAY,0,TE1,1,0
143,WEEKDAY,0,NS9/TE2,23,49
144,WEEKDAY,0,TE3,21,1412
145,WEEKDAY,0,TE4,23,1474
146,WEEKDAY,0,TE5,21,1457
147,WEEKDAY,0,TE6,19,1489
148,WEEKDAY,0,TE7,24,1554
149,WEEKDAY,0,TE8,23,1585
150,WEEKDAY,0,CC17/TE9,20,1483
