,WeekType,Time,Station,Direction1,Direction2
0,WEEKDAY,0,EW1,0,0
1,WEEKDAY,0,EW2,98,727
2,WEEKDAY,0,EW3,97,1039
3,WEEKDAY,0,EW4,84,1305
4,WEEKDAY,0,EW5,86,1525
5,WEEKDAY,0,EW6,85,1761
6,WEEKDAY,0,EW7,87,1850
7,WEEKDAY,0,EW8,113,1950
8,WEEKDAY,0,EW9,107,1593
9,WEEKDAY,0,EW10,109,1461
10,WEEKDAY,0,EW11,114,1480
11,WEEKDAY,0,EW12,84,1527
12,WEEKDAY,0,EW13,233,995
13,WEEKDAY,0,EW14,242,753
14,WEEKDAY,0,EW15,255,208
15,WEEKDAY,0,EW16,264,108
16,WEEKDAY,0,EW17,295,53
17,WEEKDAY,0,EW18,306,52
18,WEEKDAY,0,EW19,327,52
19,WEEKDAY,0,EW20,334,53
20,WEEKDAY,0,EW21,411,52
21,WEEKDAY,0,EW22,425,2
22,WEEKDAY,0,EW23,545,2
23,WEEKDAY,0,EW24,893,0
24,WEEKDAY,0,EW25,892,0
25,WEEKDAY,0,EW26,673,0
26,WEEKDAY,0,EW27,433,0
27,WEEKDAY,0,EW28,86,0
28,WEEKDAY,0,EW29,68,0
29,WEEKDAY,0,EW30,60,0
30,WEEKDAY,0,EW31,43,0
31,WEEKDAY,0,EW32,21,0
32,WEEKDAY,0,EW33,0,0
33,WEEKDAY,0,NS1,1891,0
34,WEEKDAY,0,NS2,2120,711
35,WEEKDAY,0,NS3,2092,1188
36,WEEKDAY,0,NS4,2305,1533
37,WEEKDAY,0,NS5,2024,2068
38,WEEKDAY,0,NS6,2024,2670
39,WEEKDAY,0,NS7,2212,2670
40,WEEKDAY,0,NS8,2527,2732
41,WEEKDAY,0,NS9,3325,3052
42,WEEKDAY,0,NS10,3181,3284
43,WEEKDAY,0,NS11,2753,4108
44,WEEKDAY,0,NS12,2665,4814
45,WEEKDAY,0,NS13,2032,4771
46,WEEKDAY,0,NS14,1728,4561
47,WEEKDAY,0,NS15,1625,4293
48,WEEKDAY,0,NS16,415,4049
49,WEEKDAY,0,NS17,432,4102
50,WEEKDAY,0,NS18,316,3752
51,WEEKDAY,0,NS19,151,3891
52,WEEKDAY,0,NS20,133,3843
53,WEEKDAY,0,NS21,124,3781
54,WEEKDAY,0,NS22,100,2577
55,WEEKDAY,0,NS23,81,2581
56,WEEKDAY,0,NS24,41,2197
57,WEEKDAY,0,NS25,20,1867
58,WEEKDAY,0,NS26,14,1713
59,WEEKDAY,0,NS27,0,527
60,WEEKDAY,0,NS28,0,0
61,WEEKDAY,0,NE1,152,0
62,WEEKDAY,0,NE2,152,4
63,WEEKDAY,0,NE3,321,4
64,WEEKDAY,0,NE4,381,21
65,WEEKDAY,0,NE5,481,107
66,WEEKDAY,0,NE6,655,103
67,WEEKDAY,0,NE7,686,112
68,WEEKDAY,0,NE8,850,16
69,WEEKDAY,0,NE9,920,7
70,WEEKDAY,0,NE10,973,8
71,WEEKDAY,0,NE11,1017,11
72,WEEKDAY,0,NE12,811,12
73,WEEKDAY,0,NE13,770,1
74,WEEKDAY,0,NE14,653,1
75,WEEKDAY,0,NE15,542,0
76,WEEKDAY,0,NE16,289,0
77,WEEKDAY,0,NE17,0,0
78,WEEKDAY,0,CC1,708,0
79,WEEKDAY,0,CC2,727,50
80,WEEKDAY,0,CC3,782,51
81,WEEKDAY,0,CC4,1177,42
82,WEEKDAY,0,CC5,1186,38
83,WEEKDAY,0,CC6,1638,39
84,WEEKDAY,0,CC7,1598,27
85,WEEKDAY,0,CC8,1587,70
86,WEEKDAY,0,CC9,1599,100
87,WEEKDAY,0,CC10,1599,198
88,WEEKDAY,0,CC11,1485,198
89,WEEKDAY,0,CC12,1382,225
90,WEEKDAY,0,CC13,1009,401
91,WEEKDAY,0,CC14,941,589
92,WEEKDAY,0,CC15,400,623
93,WEEKDAY,0,CC16,326,630
94,WEEKDAY,0,CC17,181,631
95,WEEKDAY,0,CC18,181,672
96,WEEKDAY,0,CC19,107,672
97,WEEKDAY,0,CC20,106,531
98,WEEKDAY,0,CC21,111,535
99,WEEKDAY,0,CC22,66,461
100,WEEKDAY,0,CC23,39,253
101,WEEKDAY,0,CC24,40,186
102,WEEKDAY,0,CC25,22,118
103,WEEKDAY,0,CC26,13,78
104,WEEKDAY,0,CC27,10,72
105,WEEKDAY,0,CC28,9,59
106,WEEKDAY,0,CC29,0,59
107,WEEKDAY,0,DT1,1,0
108,WEEKDAY,0,DT2,1,974
109,WEEKDAY,0,DT3,1,1039
110,WEEKDAY,0,DT4,1,1210
111,WEEKDAY,0,DT5,2,1210
112,WEEKDAY,0,DT6,2,1302
113,WEEKDAY,0,DT7,2,1370
114,WEEKDAY,0,DT8,2,1417
115,WEEKDAY,0,DT9,91,1458
116,WEEKDAY,0,DT10,139,1445
117,WEEKDAY,0,DT11,213,1478
118,WEEKDAY,0,DT12,220,1718
119,WEEKDAY,0,DT13,220,1805
120,WEEKDAY,0,DT14,582,1775
121,WEEKDAY,0,DT15,587,1514
122,WEEKDAY,0,DT16,800,1331
123,WEEKDAY,0,DT17,853,592
124,WEEKDAY,0,DT18,969,422
125,WEEKDAY,0,DT19,1011,238
126,WEEKDAY,0,DT20,1072,164
127,WEEKDAY,0,DT21,1320,98
128,WEEKDAY,0,DT22,1594,39
129,WEEKDAY,0,DT23,1666,21
130,WEEKDAY,0,DT24,1587,15
131,WEEKDAY,0,DT25,1513,11
132,WEEKDAY,0,DT26,1450,9
133,WEEKDAY,0,DT27,1365,7
134,WEEKDAY,0,DT28,1215,5
135,WEEKDAY,0,DT29,1164,6
136,WEEKDAY,0,DT30,1080,7
137,WEEKDAY,0,DT31,998,8
138,WEEKDAY,0,DT32,777,6
139,WEEKDAY,0,DT33,253,8
140,WEEKDAY,0,DT34,58,4
141,WEEKDAY,0,DT35,0,4
142,WEEKDAY,0,TE1,0,0
143,WEEKDAY,0,NS9/TE2,8,55
144,WEEKDAY,0,TE3,7,1202
145,WEEKDAY,0,TE4,13,1257
146,WEEKDAY,0,TE5,13,1220
147,WEEKDAY,0,TE6,21,1230
148,WEEKDAY,0,TE7,21,1248
149,WEEKDAY,0,TE8,30,1269
150,WEEKDAY,0,CC17/TE9,11,1144
151,WEEKDAY,0,TE10,11,1136
152,WEEKDAY,0,DT10/TE11,17,1136
153,WEEKDAY,0,TE12,17,1082
154,WEEKDAY,0,TE13,18,1085
155,WEEKDAY,0,TE14/NS22,35,1083
156,WEEKDAY,0,TE15,34,737
157,WEEKDAY,0,TE16,37,750
158,WEEKDAY,0,EW16/NE3/TE17,19,776
159,WEEKDAY,0,TE18,26,635
160,WEEKDAY,0,TE19,27,545
161,WEEKDAY,0,NS27/CE2/TE20,5,513
162,WEEKDAY,0,TE21,5,11
163,WEEKDAY,0,TE22,0,11
164,WEEKDAY,1,EW1,0,0
165,WEEKDAY,1,EW2,0,0
166,WEEKDAY,1,EW3,0,0
167,WEEKDAY,1,EW4,0,0
168,WEEKDAY,1,EW5,0,0
169,WEEKDAY,1,EW6,0,0
170,WEEKDAY,1,EW7,0,0
171,WEEKDAY,1,EW8,0,0
172,WEEKDAY,1,EW9,0,0
173,WEEKDAY,1,EW10,0,0
174,WEEKDAY,1,EW11,0,0
175,WEEKDAY,1,EW12,0,0
176,WEEKDAY,1,EW13,0,0
177,WEEKDAY,1,EW14,0,0
178,WEEKDAY,1,EW15,0,0
179,WEEKDAY,1,EW16,0,0
180,WEEKDAY,1,EW17,0,0
181,WEEKDAY,1,EW18,0,0
182,WEEKDAY,1,EW19,0,0
183,WEEKDAY,1,EW20,0,0
