,WeekType,Time,Station,Direction1,Direction2
135,WEEKDAY,0,DT29,1048,1
136,WEEKDAY,0,DT30,947,1
137,WEEKDAY,0,DT31,899,1
138,WEEKDAY,0,DT32,674,1
139,WEEKDAY,0,DT33,187,5
140,WEEKDAY,0,DT34,36,6
141,WEEKDAY,0,DT35,0,6
142,WEEKDAY,0,TE1,0,0
143,WEEKDAY,0,NS9/TE2,0,41
144,WEEKDAY,0,TE3,0,1150
145,WEEKDAY,0,TE4,0,1177
146,WEEKDAY,0,TE5,0,1162
147,WEEKDAY,0,TE6,2,1165
148,WEEKDAY,0,TE7,2,1165
149,WEEKDAY,0,TE8,8,1157
150,WEEKDAY,0,CC17/TE9,0,1067
151,WEEKDAY,0,TE10,0,1070
152,WEEKDAY,0,DT10/TE11,1,1070
153,WEEKDAY,0,TE12,2,1036
154,WEEKDAY,0,TE13,2,1035
155,WEEKDAY,0,TE14/NS22,3,1035
156,WEEKDAY,0,TE15,2,690
157,WEEKDAY,0,TE16,4,683
158,WEEKDAY,0,EW16/NE3/TE17,1,690
159,WEEKDAY,0,TE18,4,552
160,WEEKDAY,0,TE19,1,489
161,WEEKDAY,0,NS27/CE2/TE20,0,476
162,WEEKDAY,0,TE21,0,8
163,WEEKDAY,0,TE22,0,8
164,WEEKDAY,1,EW1,0,0
165,WEEKDAY,1,EW2,0,0
166,WEEKDAY,1,EW3,0,0
167,WEEKDAY,1,EW4,0,0
168,WEEKDAY,1,EW5,0,0
169,WEEKDAY,1,EW6,0,0
170,WEEKDAY,1,EW7,0,0
171,WEEKDAY,1,EW8,0,0
172,WEEKDAY,1,EW9,0,0
173,WEEKDAY,1,EW10,0,0
174,WEEKDAY,1,EW11,0,0
175,WEEKDAY,1,EW12,0,0
176,WEEKDAY,1,EW13,0,0
177,WEEKDAY,1,EW14,0,0
178,WEEKDAY,1,EW15,0,0
179,WEEKDAY,1,EW16,0,0
180,WEEKDAY,1,EW17,0,0
181,WEEKDAY,1,EW18,0,0
182,WEEKDAY,1,EW19,0,0
183,WEEKDAY,1,EW20,0,0
184,WEEKDAY,1,EW21,0,0
185,WEEKDAY,1,EW22,0,0
186,WEEKDAY,1,EW23,0,0
187,WEEKDAY,1,EW24,0,0
188,WEEKDAY,1,EW25,0,0
189,WEEKDAY,1,EW26,0,0
190,WEEKDAY,1,EW27,0,0
191,WEEKDAY,1,EW28,0,0
192,WEEKDAY,1,EW29,0,0
193,WEEKDAY,1,EW30,0,0
194,WEEKDAY,1,EW31,0,0
195,WEEKDAY,1,EW32,0,0
196,WEEKDAY,1,EW33,0,0
197,WEEKDAY,1,NS1,0,0
198,WEEKDAY,1,NS2,0,0
199,WEEKDAY,1,NS3,0,0
200,WEEKDAY,1,NS4,0,0
201,WEEKDAY,1,NS5,0,0
202,WEEKDAY,1,NS6,0,0
203,WEEKDAY,1,NS7,0,0
204,WEEKDAY,1,NS8,0,0
205,WEEKDAY,1,NS9,0,0
206,WEEKDAY,1,NS10,0,0
207,WEEKDAY,1,NS11,0,0
208,WEEKDAY,1,NS12,0,0
209,WEEKDAY,1,NS13,0,0
210,WEEKDAY,1,NS14,0,0
211,WEEKDAY,1,NS15,0,0
212,WEEKDAY,1,NS16,0,0
213,WEEKDAY,1,NS17,0,0
214,WEEKDAY,1,NS18,0,0
215,WEEKDAY,1,NS19,0,0
216,WEEKDAY,1,NS20,0,0
217,WEEKDAY,1,NS21,0,0
218,WEEKDAY,1,NS22,0,0
219,WEEKDAY,1,NS23,0,0
220,WEEKDAY,1,NS24,0,0
221,WEEKDAY,1,NS25,0,0
222,WEEKDAY,1,NS26,0,0
223,WEEKDAY,1,NS27,0,0
224,WEEKDAY,1,NS28,0,0
