,WeekType,Time,Station,Direction1,Direction2
0,WEEKDAY,0,EW1,0,0
1,WEEKDAY,0,EW2,87,684
2,WEEKDAY,0,EW3,83,1004
3,WEEKDAY,0,EW4,70,1169
4,WEEKDAY,0,EW5,69,1299
5,WEEKDAY,0,EW6,68,1578
6,WEEKDAY,0,EW7,66,1676
7,WEEKDAY,0,EW8,50,1728
8,WEEKDAY,0,EW9,48,1510
9,WEEKDAY,0,EW10,48,1443
10,WEEKDAY,0,EW11,48,1430
11,WEEKDAY,0,EW12,6,1497
12,WEEKDAY,0,EW13,91,1003
13,WEEKDAY,0,EW14,90,765
14,WEEKDAY,0,EW15,100,223
15,WEEKDAY,0,EW16,117,126
16,WEEKDAY,0,EW17,160,72
17,WEEKDAY,0,EW18,200,67
18,WEEKDAY,0,EW19,232,65
19,WEEKDAY,0,EW20,251,65
20,WEEKDAY,0,EW21,328,65
21,WEEKDAY,0,EW22,371,3
22,WEEKDAY,0,EW23,543,5
23,WEEKDAY,0,EW24,931,3
24,WEEKDAY,0,EW25,899,2
25,WEEKDAY,0,EW26,648,2
26,WEEKDAY,0,EW27,411,1
27,WEEKDAY,0,EW28,91,0
28,WEEKDAY,0,EW29,77,0
29,WEEKDAY,0,EW30,74,0
30,WEEKDAY,0,EW31,46,0
31,WEEKDAY,0,EW32,18,0
32,WEEKDAY,0,EW33,0,0
33,WEEKDAY,0,NS1,2045,0
34,WEEKDAY,0,NS2,2340,692
35,WEEKDAY,0,NS3,2309,1120
36,WEEKDAY,0,NS4,2552,1410
37,WEEKDAY,0,NS5,2264,1979
38,WEEKDAY,0,NS6,2264,2619
39,WEEKDAY,0,NS7,2443,2619
40,WEEKDAY,0,NS8,2621,2669
41,WEEKDAY,0,NS9,3236,3001
42,WEEKDAY,0,NS10,2997,3377
43,WEEKDAY,0,NS11,2709,4179
44,WEEKDAY,0,NS12,2623,4834
45,WEEKDAY,0,NS13,2061,4928
46,WEEKDAY,0,NS14,1771,4688
47,WEEKDAY,0,NS15,1643,4358
48,WEEKDAY,0,NS16,434,4136
49,WEEKDAY,0,NS17,405,4054
50,WEEKDAY,0,NS18,317,3716
51,WEEKDAY,0,NS19,138,3781
52,WEEKDAY,0,NS20,122,3693
53,WEEKDAY,0,NS21,105,3641
54,WEEKDAY,0,NS22,86,2505
55,WEEKDAY,0,NS23,69,2544
56,WEEKDAY,0,NS24,18,2111
57,WEEKDAY,0,NS25,7,1807
58,WEEKDAY,0,NS26,1,1574
59,WEEKDAY,0,NS27,0,423
60,WEEKDAY,0,NS28,0,1
61,WEEKDAY,0,NE1,159,0
62,WEEKDAY,0,NE2,159,0
63,WEEKDAY,0,NE3,282,0
64,WEEKDAY,0,NE4,316,1
65,WEEKDAY,0,NE5,390,81
66,WEEKDAY,0,NE6,582,81
67,WEEKDAY,0,NE7,637,107
68,WEEKDAY,0,NE8,822,17
69,WEEKDAY,0,NE9,923,17
70,WEEKDAY,0,NE10,961,17
71,WEEKDAY,0,NE11,1005,17
72,WEEKDAY,0,NE12,801,17
73,WEEKDAY,0,NE13,750,0
74,WEEKDAY,0,NE14,666,0
75,WEEKDAY,0,NE15,548,0
76,WEEKDAY,0,NE16,304,0
77,WEEKDAY,0,NE17,0,0
78,WEEKDAY,0,CC1,679,0
79,WEEKDAY,0,CC2,701,43
80,WEEKDAY,0,CC3,721,40
81,WEEKDAY,0,CC4,1113,38
82,WEEKDAY,0,CC5,1137,28
83,WEEKDAY,0,CC6,1372,28
84,WEEKDAY,0,CC7,1398,27
85,WEEKDAY,0,CC8,1379,58
86,WEEKDAY,0,CC9,1377,109
87,WEEKDAY,0,CC10,1377,257
88,WEEKDAY,0,CC11,1311,257
89,WEEKDAY,0,CC12,1216,255
90,WEEKDAY,0,CC13,928,394
91,WEEKDAY,0,CC14,867,612
92,WEEKDAY,0,CC15,330,645
93,WEEKDAY,0,CC16,275,580
94,WEEKDAY,0,CC17,163,585
95,WEEKDAY,0,CC18,163,599
96,WEEKDAY,0,CC19,81,599
97,WEEKDAY,0,CC20,82,459
98,WEEKDAY,0,CC21,89,457
99,WEEKDAY,0,CC22,50,398
100,WEEKDAY,0,CC23,21,158
101,WEEKDAY,0,CC24,36,109
102,WEEKDAY,0,CC25,19,59
103,WEEKDAY,0,CC26,12,28
104,WEEKDAY,0,CC27,10,23
105,WEEKDAY,0,CC28,10,19
106,WEEKDAY,0,CC29,0,18
107,WEEKDAY,0,DT1,0,0
108,WEEKDAY,0,DT2,0,824
109,WEEKDAY,0,DT3,0,913
110,WEEKDAY,0,DT4,0,1030
111,WEEKDAY,0,DT5,0,1030
112,WEEKDAY,0,DT6,0,1228
113,WEEKDAY,0,DT7,0,1278
114,WEEKDAY,0,DT8,0,1316
115,WEEKDAY,0,DT9,91,1357
116,WEEKDAY,0,DT10,113,1350
117,WEEKDAY,0,DT11,192,1381
118,WEEKDAY,0,DT12,194,1620
119,WEEKDAY,0,DT13,193,1722
120,WEEKDAY,0,DT14,521,1696
121,WEEKDAY,0,DT15,538,1423
122,WEEKDAY,0,DT16,739,1266
123,WEEKDAY,0,DT17,768,540
124,WEEKDAY,0,DT18,864,418
125,WEEKDAY,0,DT19,964,253
126,WEEKDAY,0,DT20,1057,140
127,WEEKDAY,0,DT21,1243,76
128,WEEKDAY,0,DT22,1471,38
129,WEEKDAY,0,DT23,1535,9
130,WEEKDAY,0,DT24,1467,1
131,WEEKDAY,0,DT25,1420,1
132,WEEKDAY,0,DT26,1331,0
133,WEEKDAY,0,DT27,1277,0
134,WEEKDAY,0,DT28,1128,0
135,WEEKDAY,0,DT29,1068,0
136,WEEKDAY,0,DT30,944,2
137,WEEKDAY,0,DT31,895,2
138,WEEKDAY,0,DT32,736,0
139,WEEKDAY,0,DT33,178,8
140,WEEKDAY,0,DT34,22,7
141,WEEKDAY,0,DT35,0,7
142,WEEKDAY,0,TE1,0,0
143,WEEKDAY,0,NS9/TE2,0,61
144,WEEKDAY,0,TE3,0,1300
145,WEEKDAY,0,TE4,1,1330
146,WEEKDAY,0,TE5,1,1287
147,WEEKDAY,0,TE6,8,1286
148,WEEKDAY,0,TE7,7,1318
149,WEEKDAY,0,TE8,15,1310
150,WEEKDAY,0,CC17/TE9,0,1212
151,WEEKDAY,0,TE10,0,1221
152,WEEKDAY,0,DT10/TE11,2,1221
153,WEEKDAY,0,TE12,3,1164
154,WEEKDAY,0,TE13,3,1161
155,WEEKDAY,0,TE14/NS22,4,1157
156,WEEKDAY,0,TE15,5,733
157,WEEKDAY,0,TE16,7,749
158,WEEKDAY,0,EW16/NE3/TE17,5,756
159,WEEKDAY,0,TE18,11,561
160,WEEKDAY,0,TE19,7,512
161,WEEKDAY,0,NS27/CE2/TE20,2,501
162,WEEKDAY,0,TE21,2,13
163,WEEKDAY,0,TE22,0,13
164,WEEKDAY,1,EW1,0,0
165,WEEKDAY,1,EW2,0,0
166,WEEKDAY,1,EW3,0,0
167,WEEKDAY,1,EW4,0,0
168,WEEKDAY,1,EW5,0,0
169,WEEKDAY,1,EW6,0,0
170,WEEKDAY,1,EW7,0,0
171,WEEKDAY,1,EW8,0,0
172,WEEKDAY,1,EW9,0,0
173,WEEKDAY,1,EW10,0,0
174,WEEKDAY,1,EW11,0,0
175,WEEKDAY,1,EW12,0,0
176,WEEKDAY,1,EW13,0,0
177,WEEKDAY,1,EW14,0,0
178,WEEKDAY,1,EW15,0,0
179,WEEKDAY,1,EW16,0,0
180,WEEKDAY,1,EW17,0,0
181,WEEKDAY,1,EW18,0,0
182,WEEKDAY,1,EW19,0,0
183,WEEKDAY,1,EW20,0,0
184,WEEKDAY,1,EW21,0,0
185,WEEKDAY,1,EW22,0,0
186,WEEKDAY,1,EW23,0,0
187,WEEKDAY,1,EW24,0,0
188,WEEKDAY,1,EW25,0,0
189,WEEKDAY,1,EW26,0,0
190,WEEKDAY,1,EW27,0,0
191,WEEKDAY,1,EW28,0,0
192,WEEKDAY,1,EW29,0,0
193,WEEKDAY,1,EW30,0,0
194,WEEKDAY,1,EW31,0,0
195,WEEKDAY,1,EW32,0,0
196,WEEKDAY,1,EW33,0,0
197,WEEKDAY,1,NS1,0,0
198,WEEKDAY,1,NS2,0,0
199,WEEKDAY,1,NS3,0,0
200,WEEKDAY,1,NS4,0,0
201,WEEKDAY,1,NS5,0,0
202,WEEKDAY,1,NS6,0,0
203,WEEKDAY,1,NS7,0,0
204,WEEKDAY,1,NS8,0,0
205,WEEKDAY,1,NS9,0,0
206,WEEKDAY,1,NS10,0,0
207,WEEKDAY,1,NS11,0,0
208,WEEKDAY,1,NS12,0,0
209,WEEKDAY,1,NS13,0,0
210,WEEKDAY,1,NS14,0,0
211,WEEKDAY,1,NS15,0,0
212,WEEKDAY,1,NS16,0,0
213,WEEKDAY,1,NS17,0,0
214,WEEKDAY,1,NS18,0,0
215,WEEKDAY,1,NS19,0,0
216,WEEKDAY,1,NS20,0,0
217,WEEKDAY,1,NS21,0,0
218,WEEKDAY,1,NS22,0,0
219,WEEKDAY,1,NS23,0,0
220,WEEKDAY,1,NS24,0,0
221,WEEKDAY,1,NS25,0,0
222,WEEKDAY,1,NS26,0,0
223,WEEKDAY,1,NS27,0,0
224,WEEKDAY,1,NS28,0,0
225,WEEKDAY,1,NE1,0,0
226,WEEKDAY,1,NE2,0,0
227,WEEKDAY,1,NE3,0,0
228,WEEKDAY,1,NE4,0,0
229,WEEKDAY,1,NE5,0,0
230,WEEKDAY,1,NE6,0,0
231,WEEKDAY,1,NE7,0,0
232,WEEKDAY,1,NE8,0,0
233,WEEKDAY,1,NE9,0,0
234,WEEKDAY,1,NE10,0,0
235,WEEKDAY,1,NE11,0,0
236,WEEKDAY,1,NE12,0,0
237,WEEKDAY,1,NE13,0,0
238,WEEKDAY,1,NE14,0,0
239,WEEKDAY,1,NE15,0,0
240,WEEKDAY,1,NE16,0,0
241,WEEKDAY,1,NE17,0,0
242,WEEKDAY,1,CC1,0,0
243,WEEKDAY,1,CC2,0,0
244,WEEKDAY,1,CC3,0,0
245,WEEKDAY,1,CC4,0,0
246,WEEKDAY,1,CC5,0,0
247,WEEKDAY,1,CC6,0,0
248,WEEKDAY,1,CC7,0,0
249,WEEKDAY,1,CC8,0,0
250,WEEKDAY,1,CC9,0,0
251,WEEKDAY,1,CC10,0,0
252,WEEKDAY,1,CC11,0,0
253,WEEKDAY,1,CC12,0,0
254,WEEKDAY,1,CC13,0,0
255,WEEKDAY,1,CC14,0,0
256,WEEKDAY,1,CC15,0,0
257,WEEKDAY,1,CC16,0,0
258,WEEKDAY,1,CC17,0,0
259,WEEKDAY,1,CC18,0,0
260,WEEKDAY,1,CC19,0,0
261,WEEKDAY,1,CC20,0,0
262,WEEKDAY,1,CC21,0,0
263,WEEKDAY,1,CC22,0,0
264,WEEKDAY,1,CC23,0,0
265,WEEKDAY,1,CC24,0,0
266,WEEKDAY,1,CC25,0,0
267,WEEKDAY,1,CC26,0,0
268,WEEKDAY,1,CC27,0,0
269,WEEKDAY,1,CC28,0,0
270,WEEKDAY,1,CC29,0,0
271,WEEKDAY,1,DT1,0,0
272,WEEKDAY,1,DT2,0,0
273,WEEKDAY,1,DT3,0,0
274,WEEKDAY,1,DT4,0,0
275,WEEKDAY,1,DT5,0,0
276,WEEKDAY,1,DT6,0,0
277,WEEKDAY,1,DT7,0,0
278,WEEKDAY,1,DT8,0,0
279,WEEKDAY,1,DT9,0,0
280,WEEKDAY,1,DT10,0,0
281,WEEKDAY,1,DT11,0,0
282,WEEKDAY,1,DT12,0,0
283,WEEKDAY,1,DT13,0,0
284,WEEKDAY,1,DT14,0,0
285,WEEKDAY,1,DT15,0,0
286,WEEKDAY,1,DT16,0,0
287,WEEKDAY,1,DT17,0,0
288,WEEKDAY,1,DT18,0,0
289,WEEKDAY,1,DT19,0,0
290,WEEKDAY,1,DT20,0,0
291,WEEKDAY,1,DT21,0,0
292,WEEKDAY,1,DT22,0,0
293,WEEKDAY,1,DT23,0,0
294,WEEKDAY,1,DT24,0,0
295,WEEKDAY,1,DT25,0,0
296,WEEKDAY,1,DT26,0,0
297,WEEKDAY,1,DT27,0,0
298,WEEKDAY,1,DT28,0,0
299,WEEKDAY,1,DT29,0,0
300,WEEKDAY,1,DT30,0,0
301,WEEKDAY,1,DT31,0,0
302,WEEKDAY,1,DT32,0,0
303,WEEKDAY,1,DT33,0,0
304,WEEKDAY,1,DT34,0,0
305,WEEKDAY,1,DT35,0,0
306,WEEKDAY,1,TE1,0,0
307,WEEKDAY,1,NS9/TE2,0,0
308,WEEKDAY,1,TE3,0,0
309,WEEKDAY,1,TE4,0,0
310,WEEKDAY,1,TE5,0,0
311,WEEKDAY,1,TE6,0,0
312,WEEKDAY,1,TE7,0,0
313,WEEKDAY,1,TE8,0,0
314,WEEKDAY,1,CC17/TE9,0,0
315,WEEKDAY,1,TE10,0,0
316,WEEKDAY,1,DT10/TE11,0,0
317,WEEKDAY,1,TE12,0,0
318,WEEKDAY,1,TE13,0,0
319,WEEKDAY,1,TE14/NS22,0,0
320,WEEKDAY,1,TE15,0,0
321,WEEKDAY,1,TE16,0,0
322,WEEKDAY,1,EW16/NE3/TE17,0,0
323,WEEKDAY,1,TE18,0,0
324,WEEKDAY,1,TE19,0,0
325,WEEKDAY,1,NS27/CE2/TE20,0,0
326,WEEKDAY,1,TE21,0,0
327,WEEKDAY,1,TE22,0,0
328,WEEKDAY,2,EW1,0,0
329,WEEKDAY,2,EW2,0,0
330,WEEKDAY,2,EW3,0,0
331,WEEKDAY,2,EW4,0,0
332,WEEKDAY,2,EW5,0,0
333,WEEKDAY,2,EW6,0,0
334,WEEKDAY,2,EW7,0,0
335,WEEKDAY,2,EW8,0,0
336,WEEKDAY,2,EW9,0,0
337,WEEKDAY,2,EW10,0,0
338,WEEKDAY,2,EW11,0,0
339,WEEKDAY,2,EW12,0,0
340,WEEKDAY,2,EW13,0,0
341,WEEKDAY,2,EW14,0,0
342,WEEKDAY,2,EW15,0,0
343,WEEKDAY,2,EW16,0,0
344,WEEKDAY,2,EW17,0,0
345,WEEKDAY,2,EW18,0,0
346,WEEKDAY,2,EW19,0,0
347,WEEKDAY,2,EW20,0,0
348,WEEKDAY,2,EW21,0,0
349,WEEKDAY,2,EW22,0,0
350,WEEKDAY,2,EW23,0,0
351,WEEKDAY,2,EW24,0,0
352,WEEKDAY,2,EW25,0,0
353,WEEKDAY,2,EW26,0,0
354,WEEKDAY,2,EW27,0,0
355,WEEKDAY,2,EW28,0,0
356,WEEKDAY,2,EW29,0,0
357,WEEKDAY,2,EW30,0,0
358,WEEKDAY,2,EW31,0,0
359,WEEKDAY,2,EW32,0,0
360,WEEKDAY,2,EW33,0,0
361,WEEKDAY,2,NS1,0,0
362,WEEKDAY,2,NS2,0,0
363,WEEKDAY,2,NS3,0,0
364,WEEKDAY,2,NS4,0,0
365,WEEKDAY,2,NS5,0,0
366,WEEKDAY,2,NS6,0,0
367,WEEKDAY,2,NS7,0,0
368,WEEKDAY,2,NS8,0,0
369,WEEKDAY,2,NS9,0,0
370,WEEKDAY,2,NS10,0,0
371,WEEKDAY,2,NS11,0,0
372,WEEKDAY,2,NS12,0,0
373,WEEKDAY,2,NS13,0,0
374,WEEKDAY,2,NS14,0,0
375,WEEKDAY,2,NS15,0,0
376,WEEKDAY,2,NS16,0,0
377,WEEKDAY,2,NS17,0,0
378,WEEKDAY,2,NS18,0,0
379,WEEKDAY,2,NS19,0,0
380,WEEKDAY,2,NS20,0,0
381,WEEKDAY,2,NS21,0,0
382,WEEKDAY,2,NS22,0,0
383,WEEKDAY,2,NS23,0,0
384,WEEKDAY,2,NS24,0,0
385,WEEKDAY,2,NS25,0,0
386,WEEKDAY,2,NS26,0,0
387,WEEKDAY,2,NS27,0,0
388,WEEKDAY,2,NS28,0,0
